ISO_3,capital_lat,capital_lon,country,event_date,Battles_Armed clash,Battles_Government regains territory,Battles_Non-state actor overtakes territory,Explosions/Remote violence_Air/drone strike,Explosions/Remote violence_Chemical weapon,Explosions/Remote violence_Grenade,Explosions/Remote violence_Remote explosive/landmine/IED,Explosions/Remote violence_Shelling/artillery/missile attack,Explosions/Remote violence_Suicide bomb,Protests_Excessive force against protesters,Protests_Peaceful protest,Protests_Protest with intervention,Riots_Mob violence,Riots_Violent demonstration,Strategic developments_Agreement,Strategic developments_Arrests,Strategic developments_Change to group/activity,Strategic developments_Disrupted weapons use,Strategic developments_Headquarters or base established,Strategic developments_Looting/property destruction,Strategic developments_Non-violent transfer of territory,Strategic developments_Other,Violence against civilians_Abduction/forced disappearance,Violence against civilians_Attack,Violence against civilians_Sexual violence,Fatalities_Remote explosive/landmine/IED,Fatalities_Shelling/artillery/missile attack,Fatalities_Armed clash,Fatalities_Air/drone strike,Fatalities_Attack,Fatalities_Peaceful protest,Fatalities_Non-state actor overtakes territory,Fatalities_Abduction/forced disappearance,Fatalities_Disrupted weapons use,Fatalities_Government regains territory,Fatalities_Mob violence,Fatalities_Change to group/activity,Fatalities_Suicide bomb,Fatalities_Non-violent transfer of territory,Fatalities_Protest with intervention,Fatalities_Looting/property destruction,Fatalities_Arrests,Fatalities_Sexual violence,Fatalities_Headquarters or base established,Fatalities_Grenade,Fatalities_Violent demonstration,Fatalities_Agreement,Fatalities_Excessive force against protesters,Fatalities_Other,Fatalities_Chemical weapon,violence index,quarter,month,week,General,Legislative,Local,Parliamentary,Presidential,Referendum,holiday,violence index_moving_avg
AFG,33.9391,67.71,Afghanistan,2017-03-17,165.0,1.0,0.0,26.0,0.0,0.0,47.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,467.0,233.0,4.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.9511491956749,1,3,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-03-24,163.0,1.0,2.0,15.0,0.0,0.0,52.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,0.0,394.0,134.0,8.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.8035939314982,1,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-03-31,189.0,2.0,0.0,17.0,0.0,0.0,40.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,7.0,576.0,201.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.9070166152342,1,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-04-07,160.0,1.0,0.0,11.0,0.0,0.0,39.0,15.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,61.0,4.0,515.0,149.0,4.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,556.9153460161313,2,4,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-04-14,141.0,3.0,2.0,16.0,0.0,0.0,31.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,17.0,545.0,234.0,2.0,0.0,4.0,0.0,0.0,37.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.9517014824809,2,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-04-21,170.0,1.0,1.0,8.0,0.0,0.0,40.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,53.0,0.0,578.0,70.0,6.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.131712657419,2,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-04-28,182.0,1.0,6.0,16.0,0.0,0.0,59.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,51.0,2.0,629.0,143.0,0.0,0.0,82.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,675.5692205143793,2,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-05-05,220.0,1.0,1.0,23.0,0.0,0.0,52.0,17.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,49.0,14.0,712.0,176.0,0.0,0.0,22.0,0.0,12.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,746.7405416607032,2,5,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-05-12,174.0,3.0,6.0,13.0,0.0,0.0,61.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,23.0,13.0,680.0,158.0,3.0,0.0,23.0,0.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.5589853219894,2,5,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-05-19,201.0,4.0,3.0,10.0,0.0,1.0,59.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,44.0,9.0,515.0,99.0,9.0,0.0,0.0,0.0,15.0,137.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.6680287093726,2,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-05-26,224.0,1.0,3.0,15.0,0.0,0.0,36.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,5.0,1048.0,189.0,1.0,0.0,33.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.9936894700779,2,5,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AFG,33.9391,67.71,Afghanistan,2017-06-02,155.0,1.0,0.0,8.0,0.0,0.0,37.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,15.0,377.0,67.0,2.0,0.0,0.0,0.0,14.0,17.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,536.4260904867937,2,6,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
